date,symbol,strategy,entry_price,exit_price,qty,net_pnl,exit_reason
2024-11-29,PRFX,ROD_C,3.38,3.718,2899,979.86,TP
2024-12-02,EHGO,ROD_C,4.6408,5.10488,2111,979.67,TP
2024-12-02,PPBT,ROD_C,5.3168,5.05096,2023,-537.79,SL
2024-12-02,SNTI,ROD_C,4.1895999999999995,3.9801199999999994,2442,-511.55,SL
2024-12-02,FGL,ROD_C,3.5158519999999998,3.8674372,2767,972.84,TP
2024-12-03,CTNT,ROD_C,5.086,4.8317,1926,-489.78,SL
2024-12-04,SVMH,ROD_C,1.6676829268292683,1.8344512195121954,5876,979.93,TP
2024-12-05,SVMH,ROD_C,2.5484999999999998,2.4210749999999996,3845,-489.95,SL
2024-12-05,PBM,ROD_C,28.4525,31.297750000000004,327,930.4,TP
2024-12-05,PRFX,ROD_C,6.3146,5.99887,1620,-511.48,SL
2024-12-05,TARA,ROD_C,5.0319,4.780305,1933,-486.33,SL
2024-12-05,RKDA,ROD_C,7.8084940000000005,7.4180693,1185,-462.65,SL
2024-12-06,ALBT,ROD_C,3.315,3.14925,2956,-489.96,SL
2024-12-06,UPC,ROD_C,144.208,136.9976,64,-461.47,SL
2024-12-06,MSPR,ROD_C,21.5916,23.750760000000003,410,885.26,TP
2024-12-09,LDTC,ROD_C,0.49032500000000007,0.5393575000000002,19986,979.96,TP
2024-12-10,QURE,ROD_C,12.614,11.9833,776,-489.42,SL
2024-12-10,CPIX,ROD_C,2.5784000000000002,2.8362400000000005,3614,931.83,TP
2024-12-11,NIVF,ROD_C,4299.0,4084.0499999999997,2,-429.9,SL
2024-12-11,CADL,ROD_C,10.532613636363637,10.005982954545454,890,-468.7,SL
2024-12-11,LDTC,ROD_C,2.258242,2.1453299,3949,-445.89,SL
2024-12-18,FGL,ROD_C,2.380778,2.2617391,4116,-489.96,SL
2024-12-19,PRFX,ROD_C,2.9574999999999996,3.25325,3313,979.82,TP
2024-12-19,PBM,ROD_C,16.7428,15.905659999999997,642,-537.44,SL
2024-12-19,CADL,ROD_C,9.43324,10.376564,1084,1022.56,TP
2024-12-20,PBM,ROD_C,35.1426,33.38547,278,-488.48,SL
2024-12-24,AMPG,ROD_C,3.814458,4.195903800000001,2569,979.93,TP
2024-12-26,SPRC,ROD_C,11.385530612244898,10.816254081632652,860,-489.58,SL
2024-12-26,RVSN,ROD_C,0.62019,0.5891805,15027,-465.98,SL
2024-12-26,RAY,ROD_C,23.997,22.79715,369,-442.74,SL
2024-12-27,RAY,ROD_C,35.45230769230769,33.67969230769231,276,-489.24,SL
2024-12-30,RVSN,ROD_C,1.52,1.444,6447,-489.97,SL
2024-12-30,REKR,ROD_C,2.4305,2.67355,3834,931.85,TP
2024-12-30,FLYE,ROD_C,70.5618,67.03371,145,-511.57,SL
2024-12-31,FLYE,ROD_C,89.23100000000001,84.76945,109,-486.31,SL
2024-12-31,BREA,ROD_C,8.691320000000001,9.560452000000002,1072,931.71,TP
2025-01-02,ORIS,ROD_C,43.95,41.7525,222,-487.85,SL
2025-01-06,RHE,ROD_C,4.535714285714286,4.989285714285715,2160,979.71,TP
2025-01-06,FUBO,ROD_C,1.8278,1.73641,5886,-537.92,SL
2025-01-06,SPRC,ROD_C,17.893800000000002,16.99911,571,-510.87,SL
2025-01-06,XTIA,ROD_C,14.6616,13.928519999999999,663,-486.03,SL
2025-01-07,EZGO,ROD_C,21.666,20.5827,452,-489.65,SL
2025-01-07,MDIA,ROD_C,1.5875,1.508125,5870,-465.93,SL
2025-01-07,MSAI,ROD_C,4.1526,3.9449699999999996,2134,-443.08,SL
2025-01-07,XTIA,ROD_C,44.503,48.953300000000006,189,841.11,TP
2025-01-07,IMRX,ROD_C,3.9958,4.39538,2315,925.03,TP
2025-01-07,SYRA,ROD_C,0.71538,0.679611,14202,-507.99,SL
2025-01-07,HOTH,ROD_C,1.54801,1.4706095000000001,6241,-483.06,SL
2025-01-07,CERO,ROD_C,149.256,141.79319999999998,61,-455.23,SL
2025-01-07,CGBS,ROD_C,0.6979500000000001,0.6630525,12526,-437.13,SL
2025-01-08,EONR,ROD_C,2.2674999999999996,2.1541249999999996,4321,-489.89,SL
2025-01-08,TPET,ROD_C,1.7006000000000001,1.8706600000000002,5480,931.93,TP
2025-01-08,JBDI,ROD_C,1.2048999999999999,1.1446549999999998,8492,-511.6,SL
2025-01-08,CURR,ROD_C,3.38142,3.2123489999999997,2878,-486.59,SL
2025-01-08,VIR,ROD_C,10.474702000000002,11.522172200000004,883,924.92,TP
2025-01-08,XHG,ROD_C,27.60222222222222,26.222111111111108,368,-507.88,SL
2025-01-08,SILO,ROD_C,1.9290180000000001,2.1219198,5009,966.25,TP
2025-01-08,CGBS,ROD_C,0.757722,0.8334942000000001,14003,1061.04,TP
2025-01-10,VMAR,ROD_C,32.23,30.618499999999994,304,-489.9,SL
2025-01-10,AIFF,ROD_C,3.97922,3.780259,2342,-465.97,SL
2025-01-10,CGBS,ROD_C,0.9938919999999999,0.9441973999999999,8917,-443.13,SL
2025-01-13,ATPC,ROD_C,2.1375,2.030625,4584,-489.92,SL
2025-01-13,PHIO,ROD_C,2.6237500000000002,2.4925625,3552,-465.98,SL
2025-01-13,SLRX,ROD_C,40.93125,45.024375,216,884.12,TP
2025-01-13,KAPA,ROD_C,1.305552,1.2402743999999999,7452,-486.45,SL
2025-01-14,NMHI,ROD_C,2.2169,2.43859,4420,979.87,TP
2025-01-14,AIFF,ROD_C,2.837173913043478,3.1208913043478264,3792,1075.86,TP
2025-01-14,ERNA,ROD_C,6.478045454545454,7.125850000000001,1823,1180.95,TP
2025-01-17,ZEO,ROD_C,3.466666666666667,3.2933333333333334,2826,-489.84,SL
2025-01-21,SOPA,ROD_C,1.2139959999999999,1.3353956,8072,979.94,TP
2025-01-23,RNAZ,ROD_C,169.8062,161.31589,57,-483.95,SL
2025-01-24,RNAZ,ROD_C,184.9116,203.40276,52,961.54,TP
2025-01-24,PCLA,ROD_C,4.506888,4.2815436,2383,-537.0,SL
2025-01-28,TRIB,ROD_C,1.0419,1.14609,9405,979.91,TP
2025-01-28,RNAZ,ROD_C,308.38439999999997,292.96518,34,-524.25,SL
2025-01-30,NWTG,ROD_C,25.459600000000002,24.18662,384,-488.82,SL
2025-01-31,SOPA,ROD_C,1.34696,1.279612,7275,-489.96,SL
2025-02-03,SOPA,ROD_C,2.270126,2.4971386,4316,979.79,TP
2025-02-05,CPIX,ROD_C,4.859744,4.6167568,2016,-489.86,SL
2025-02-05,RNAZ,ROD_C,300.95459999999997,285.90686999999997,30,-451.43,SL
2025-02-06,SOPA,ROD_C,2.328016,2.2116152,4209,-489.93,SL
2025-02-06,MSPR,ROD_C,16.5474,18.20214,563,931.62,TP
2025-02-06,NIVF,ROD_C,841.37,799.3014999999999,12,-504.82,SL
2025-02-10,BNAI,ROD_C,8.52938,8.102910999999999,1148,-489.59,SL
2025-02-11,AIFF,ROD_C,4.2540379999999995,4.0413361,2303,-489.85,SL
2025-02-11,SOPA,ROD_C,3.860656,4.246721600000001,2414,931.96,TP
2025-02-12,NWTG,ROD_C,16.8168,15.97596,582,-489.37,SL
2025-02-12,AIFF,ROD_C,12.305442000000001,11.6901699,757,-465.76,SL
2025-02-14,NWTG,ROD_C,31.729200000000002,30.14274,308,-488.63,SL
2025-02-24,ATPC,ROD_C,1.51303,1.4373785000000001,6477,-489.99,SL
2025-03-11,RAY,ROD_C,21.4105,20.339975,457,-489.23,SL
2025-03-21,RNAZ,ROD_C,35.1096,38.620560000000005,279,979.56,TP
2025-03-21,GLTO,ROD_C,6.421895999999999,6.100801199999999,1675,-537.83,SL
2025-03-24,RAY,ROD_C,25.360599999999998,27.89666,386,978.92,TP
2025-03-25,RAY,ROD_C,29.480999999999998,28.006949999999996,332,-489.38,SL
2025-03-31,NWTG,ROD_C,2.07762,2.2853820000000002,4716,979.81,TP
2025-04-01,YCBD,ROD_C,2.39542,2.6349620000000002,4091,979.97,TP
2025-04-03,MRM,ROD_C,0.60984,0.579348,16069,-489.98,SL
2025-04-04,AEHL,ROD_C,3.4116720000000003,3.2410884,2872,-489.92,SL
2025-04-07,NWTG,ROD_C,2.4513599999999998,2.3287919999999995,3997,-489.9,SL
