date,symbol,strategy,entry_price,exit_price,qty,gross_pnl,entry_cost,exit_cost,net_pnl,exit_reason,slippage_pct
2024-12-06,ALBT,ATOM_SUP_EMA200,3.1307134228159064,2.9155636693806977,3003,-646.09,15.22,15.64,-676.95,SL,1.9707659456937694
2024-12-06,UPC,ATOM_SUP_EMA200,127.7352290263103,119.45297086328276,66,-546.63,1.19,1.18,-549.0,SL,1.562027728566547
2024-12-09,LDTC,ATOM_SUP_EMA200,1.3411594351090226,1.3446650750151545,7288,25.55,36.66,37.71,-48.82,Trailing Stop,0.3213435867194433
2024-12-10,CPIX,ATOM_SUP_EMA200,2.44,2.680214619024087,3916,940.68,19.79,20.38,900.51,TP,0.14103505871510427
2024-12-10,QURE,ATOM_SUP_EMA200,13.401945608005969,13.102213102782759,754,-226.0,3.99,4.1,-234.09,Trailing Stop,0.2761875192544041
2024-12-11,NIVF,ATOM_SUP_EMA200,2678.0602880979654,2656.126112822687,2,-43.87,1.12,1.12,-46.11,Trailing Stop,0.14563485628996983
2024-12-11,CADL,ATOM_SUP_EMA200,10.945901316810616,10.962300871111283,808,13.25,4.24,4.35,4.66,Trailing Stop,0.3517782827807993
2024-12-11,LDTC,ATOM_SUP_EMA200,1.8148731671095735,1.7585245799598135,5275,-297.24,26.59,27.34,-351.17,Trailing Stop,0.4796502569432125
2024-12-18,FGL,ATOM_SUP_EMA200,2.432557381812262,2.6649552756715074,3672,853.37,18.56,19.11,815.7,TP,0.40577737813047765
2024-12-19,PRFX,ATOM_SUP_EMA200,4.972171348120513,5.455597353668166,1925,930.6,9.84,10.14,910.62,TP,0.25215121045861977
2024-12-19,PBM,ATOM_SUP_EMA200,15.392239665465445,15.472169658910001,654,52.27,3.49,3.59,45.19,Trailing Stop,0.3274517882496933
2024-12-20,PBM,ATOM_SUP_EMA200,31.943476224741307,32.09799888825602,251,38.79,1.43,1.47,35.89,Trailing Stop,0.4790360801301512
2024-12-26,SPRC,ATOM_SUP_EMA200,9.4517853198989,10.376591409710459,940,869.32,4.9,5.05,859.37,TP,0.19594607106987694
2024-12-26,RVSN,ATOM_SUP_EMA200,0.590602881119635,0.5544758931792274,16221,-586.02,48.11,47.52,-681.65,SL,1.1757555569265536
2024-12-26,RAY,ATOM_SUP_EMA200,20.364303358411732,20.476274475934943,454,50.83,2.47,2.54,45.82,Trailing Stop,0.2130873492449151
2024-12-27,RAY,ATOM_SUP_EMA200,27.550938182665213,28.17304144008581,347,215.87,1.95,2.0,211.92,Trailing Stop,0.3500232028656887
2024-12-30,RVSN,ATOM_SUP_EMA200,1.47,1.441893052076985,6131,-172.32,30.85,31.74,-234.91,Trailing Stop,0.1459105209844183
2024-12-30,REKR,ATOM_SUP_EMA200,2.326083262333141,2.3458538279514576,4076,80.58,20.59,21.18,38.81,Trailing Stop,0.43065246386002387
2024-12-30,FLYE,ATOM_SUP_EMA200,63.98,64.29736385051476,82,26.02,1.12,1.13,23.77,Trailing Stop,0.46847701158705524
2024-12-31,FLYE,ATOM_SUP_EMA200,82.24369953992282,90.03647302578962,115,896.17,1.21,1.25,893.71,TP,0.4770704962976163
2024-12-31,BREA,ATOM_SUP_EMA200,8.355890787047812,8.23696390795292,1205,-143.31,6.25,6.42,-155.98,Trailing Stop,0.33921466481644147
2025-01-02,ORIS,ATOM_SUP_EMA200,44.943097776613385,42.465898283820636,170,-421.12,1.17,1.18,-423.47,SL,0.5387973385825031
2025-01-06,FUBO,ATOM_SUP_EMA200,1.6181323119293716,1.507615971381769,5798,-640.77,29.2,30.02,-699.99,SL,1.9261794167095285
2025-01-06,RHE,ATOM_SUP_EMA200,4.255042749065565,4.672586523187039,2090,872.67,10.65,10.97,851.05,TP,0.17007629117518905
2025-01-06,SPRC,ATOM_SUP_EMA200,15.696623535790565,14.7063086897003,581,-575.37,3.11,3.18,-581.66,SL,1.3779944379167814
2025-01-06,XTIA,ATOM_SUP_EMA200,13.292638230700915,13.451148239087937,702,111.27,3.72,3.82,103.73,Trailing Stop,0.28800415798414064
2025-01-07,EZGO,ATOM_SUP_EMA200,19.34919440316439,18.62261719441078,489,-355.3,2.65,2.72,-360.67,Trailing Stop,0.44309323776014103
2025-01-07,MDIA,ATOM_SUP_EMA200,1.2624180293069354,1.186096723616845,7229,-551.73,36.35,37.38,-625.46,SL,1.1006783822204844
2025-01-07,MSAI,ATOM_SUP_EMA200,3.8053974285357115,3.88717262590232,2109,172.46,10.72,11.03,150.71,Trailing Stop,0.20095954037688313
2025-01-07,XTIA,ATOM_SUP_EMA200,36.0,39.40388191637857,236,803.32,1.37,1.42,800.53,TP,0.4952476859127017
2025-01-07,IMRX,ATOM_SUP_EMA200,3.1775330352704643,2.9800882458667104,2782,-549.29,14.11,14.5,-577.9,SL,1.277659088691093
2025-01-07,SYRA,ATOM_SUP_EMA200,0.6603346383398345,0.6548387450899703,13409,-73.69,44.47,46.04,-164.2,Trailing Stop,0.40399621442440675
2025-01-07,CERO,ATOM_SUP_EMA200,127.80760965272728,127.48073512872465,65,-21.25,1.18,1.19,-23.62,Trailing Stop,0.4523386469431222
2025-01-07,HOTH,ATOM_SUP_EMA200,2.4181056849733014,2.319503904779467,3717,-366.5,18.78,19.31,-404.59,Trailing Stop,0.34354866683278595
2025-01-07,CGBS,ATOM_SUP_EMA200,0.7032559659550209,0.7727656677336178,11410,793.11,40.3,45.94,706.87,TP,0.10546978578642428
2025-01-08,JBDI,ATOM_SUP_EMA200,1.178907429486703,1.1914318917418176,8305,104.02,41.74,42.95,19.33,Trailing Stop,0.4651719513936671
2025-01-08,EONR,ATOM_SUP_EMA200,1.8552406174774756,1.8305372757734426,5105,-126.11,25.73,26.47,-178.31,Trailing Stop,0.16158844977133122
2025-01-08,TPET,ATOM_SUP_EMA200,1.9584672269639853,1.8396455761561425,4778,-567.73,24.1,24.78,-616.61,SL,1.1232355144030295
2025-01-08,CURR,ATOM_SUP_EMA200,2.381828412160829,2.613371243438153,3624,839.11,18.31,18.85,801.95,TP,0.25343440529885997
2025-01-08,XHG,ATOM_SUP_EMA200,22.418139662762464,24.608044682834738,432,946.04,2.37,2.46,941.21,TP,0.2104989611288164
2025-01-08,SILO,ATOM_SUP_EMA200,2.104171842602479,2.3098008581790146,4999,1027.94,25.23,25.98,976.73,TP,0.2068690652267619
